Date and Hour,File,Time Spent on File (seconds),App Used
2024-11-18 13:00,main.py - file_usage_tracker - Visual Studio Code,48.196824,others
2024-11-18 13:00,expenses.xlsx â€“ Microsoft Excel Online,0.522,chrome.exe
2024-11-15 17:00,-,1.211007,others
2024-11-15 17:00,-,0.137824,Unknown
2024-11-15 17:00,some2.dwg,15.092058,acad.exe
2024-11-15 17:00,some1.dwg,7.504753,acad.exe
2024-11-15 17:00,Active File Tracking Script,3.777509,chrome.exe
2024-11-15 17:00,-,0.112012,Unknown
2024-11-15 17:00,-,2.391006,others
2024-11-15 17:00,-,4.202984,WINWORD.EXE
2024-11-15 17:00,-,0.127022,Unknown
2024-11-15 17:00,-,4.848655,others
2024-11-15 17:00,-,0.203666,Unknown
2024-11-15 17:00,-,8.176773,others
2024-11-15 17:00,-,0.202613,Unknown
2024-11-15 17:00,-,0.823636,others
2024-11-15 17:00,-,0.10297,Unknown
2024-11-15 17:00,-,0.404481,others
2024-11-15 17:00,-,0.114282,Unknown
2024-11-15 17:00,-,0.324472,others
2024-11-15 17:00,-,0.100994,Unknown
2024-11-15 17:00,-,0.404706,others
2024-11-15 17:00,-,0.101937,Unknown
2024-11-15 18:00,activity_tracker.py - file_usage_tracker - Visual Studio Code,6.091581,others
2024-11-15 18:00,Document1,5.604648,WINWORD.EXE
2024-11-15 18:00,Document1,0.451997,WINWORD.EXE
2024-11-15 18:00,Parts.docx,2.019325,WINWORD.EXE
2024-11-15 18:00,-,8.6877,others
2024-11-15 18:00,Active File Tracking Script,1.31282,chrome.exe
2024-11-15 18:00,-,0.150536,others
2024-11-15 18:00,some1.dwg,2.362125,acad.exe
2024-11-15 18:00,some1.dwg,0.204615,acad.exe
2024-11-15 18:00,some1.dwg,0.127154,acad.exe
2024-11-15 18:00,some1.dwg,0.134963,acad.exe
2024-11-15 18:00,some1.dwg,0.9666,acad.exe
2024-11-15 18:00,some1.dwg,0.122338,acad.exe
2024-11-15 18:00,some1.dwg,0.119163,acad.exe
2024-11-15 18:00,some1.dwg,0.125019,acad.exe
2024-11-15 18:00,some1.dwg,0.141002,acad.exe
2024-11-15 18:00,some1.dwg,0.165998,acad.exe
2024-11-15 18:00,some1.dwg,0.177999,acad.exe
2024-11-15 18:00,some1.dwg,0.167004,acad.exe
2024-11-15 18:00,some1.dwg,0.130996,acad.exe
2024-11-15 18:00,some1.dwg,0.173,acad.exe
2024-11-15 18:00,some1.dwg,0.211,acad.exe
2024-11-15 18:00,some1.dwg,0.118004,acad.exe
2024-11-15 18:00,some1.dwg,0.147997,acad.exe
2024-11-15 18:00,some1.dwg,0.188998,acad.exe
2024-11-15 18:00,some1.dwg,0.126004,acad.exe
2024-11-15 18:00,some1.dwg,0.125998,acad.exe
2024-11-15 18:00,some1.dwg,0.123998,acad.exe
2024-11-15 18:00,some1.dwg,0.127001,acad.exe
2024-11-15 18:00,some1.dwg,9.463989,acad.exe
2024-11-15 18:00,some2.dwg,5.87633,acad.exe
2024-11-15 18:00,some1.dwg,1.259595,acad.exe
2024-11-15 18:00,-,0.212552,others
2024-11-15 18:00,Parts.docx,2.561992,WINWORD.EXE
2024-11-12 19:00,486-GURU-ARCH-08 - ARCHICAD 25 DEMO,22.16275,ARCHICAD.exe
2024-11-12 19:00,-,11.033271,others
2024-11-12 19:00,486-GURU-ARCH-08 - ARCHICAD 25 DEMO,0.510174,ARCHICAD.exe
2024-11-12 19:00,-,4.665613,others
2024-11-12 19:00,486-GURU-ARCH-08 - ARCHICAD 25 DEMO,3.751687,ARCHICAD.exe
2024-11-12 19:00,-,1.490047,others
2024-11-12 19:00,486-GURU-ARCH-08 - ARCHICAD 25 DEMO,0.540521,ARCHICAD.exe
2024-11-12 19:00,-,7.448674,others
2024-11-12 19:00,486-GURU-ARCH-08 - ARCHICAD 25 DEMO,9.510052,ARCHICAD.exe
2024-11-12 19:00,-,2.660264,others
2024-11-12 19:00,486-GURU-ARCH-08 - ARCHICAD 25 DEMO,1.771521,ARCHICAD.exe
2024-11-12 19:00,-,0.418624,others
2024-11-12 19:00,486-GURU-ARCH-08 - ARCHICAD 25 DEMO,0.521088,ARCHICAD.exe
2024-11-13 21:00,-,11.860572,others
2024-11-13 21:00,some2.dwg,5.114072,acad.exe
2024-11-13 21:00,-,1.275409,acad.exe
2024-11-13 21:00,some2.dwg,6.569964,acad.exe
2024-11-13 21:00,-,2.543528,others
2024-11-13 21:00,some2.dwg,7.008666,acad.exe
2024-11-13 21:00,-,2.95147,others
2024-11-13 21:00,some2.dwg,3.56953,acad.exe
2024-11-13 21:00,-,0.657457,acad.exe
2024-11-13 21:00,some2.dwg,4.766534,acad.exe
2024-11-13 21:00,some1.dwg,2.533519,acad.exe
2024-11-13 21:00,-,3.10577,acad.exe
2024-11-13 21:00,some1.dwg,1.611754,acad.exe
2024-11-13 21:00,-,0.766291,acad.exe
2024-11-13 21:00,some1.dwg,1.955342,acad.exe
2024-11-13 21:00,-,0.442068,acad.exe
2024-11-13 21:00,some1.dwg,3.300386,acad.exe
2024-11-13 22:00,-,4.172271,others
2024-11-13 22:00,some1.dwg,1.895044,acad.exe
2024-11-13 22:00,-,3.502377,acad.exe
2024-11-13 22:00,some1.dwg,7.056879,acad.exe
2024-11-13 22:00,-,0.940119,acad.exe
2024-11-13 22:00,some1.dwg,11.728833,acad.exe
